DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
01/26/2018 12:00,374,23.87,0.126,0.036,5.07,0.971,44.2,70,7.76,610
01/27/2018 12:00,339,20.421,0.098,0.027,4.76,0.909,46.1,78.2,7.84,642
01/28/2018 12:00,624,37.942,0.132,0.03,4.78,0.679,46.4,84.8,7.57,634
01/29/2018 12:00,395,26.075,0.123,0.034,4.79,0.846,51.4,75.6,7.59,652
01/30/2018 12:00,280,14.906,0.1,0.029,4.72,0.768,56.3,79,7.62,683
01/31/2018 12:00,225,10.572,0.07,0.025,4.98,0.589,62,87.2,7.81,735
02/01/2018 12:00,175,7.1801,0.061,0.02,4.62,0.49,57.9,93.4,7.65,735
02/02/2018 12:00,147,8.0526,0.058,0.022,4.56,0.465,63.5,102.5,7.72,799
02/03/2018 12:00,131,10.932,0.05,0.014,4.51,0.429,61.1,102.3,7.76,811
02/04/2018 12:00,121,7.1105,0.046,0.006,4.09,0.444,55.4,103.5,7.4,786
02/05/2018 11:20,115,5.7361,0.042,0.014,4.21,0.511,74,109.8,7.79,858
02/05/2018 12:00,115,5.487,0.037,0.005,3.88,0.411,72.9,104.8,7.79,852
02/06/2018 12:00,107,5.9721,0.031,0.015,3.72,0.386,71.8,111.5,7.66,862
02/07/2018 12:00,101,7.6433,0.032,0.017,3.45,0.325,78,112.4,7.69,891
02/08/2018 12:00,96.4,3.253,0.027,0.009,3.14,0.338,75.9,116.3,7.61,895
02/09/2018 12:00,91.2,4.4108,0.037,0.011,3.41,0.448,83.4,120.5,7.61,938
02/10/2018 12:00,87.8,1.3029,0.03,0.009,2.82,0.36,80.2,119.2,7.17,914
02/11/2018 12:00,84.8,4.3,0.029,0.009,,0.337,,,6.96,918
02/12/2018 04:00,83.4,1.3029,0.029,0.01,2.73,0.442,99.2,118.5,6.86,979
02/12/2018 11:15,82.5,3.3647,0.026,0.016,2.69,0.409,97.2,121.2,6.68,964
02/12/2018 12:00,82.5,7.9,0.0308,0.009,2.77,0.501,101.1,118.2,6.32,978
02/13/2018 12:00,82.2,4.4,0.0332,0.01,3.04,0.491,103.1,128.3,6.41,1014
02/14/2018 12:00,124,5,0.0257,0.005,2.21,0.386,84.4,127.5,5.79,935
02/15/2018 04:00,275,27.2,0.0603,0.012,2.12,0.657,101,100.4,5.53,911
02/15/2018 12:00,686,113.3,0.1592,0.017,2.15,0.992,74.1,69.9,5.09,700
02/15/2018 20:00,2350,250,0.3412,0.02,3.06,2,56.8,54.3,5.13,544
02/16/2018 04:00,5360,648.9,0.7158,0.042,3.72,3.444,33,23.6,5.35,350
02/16/2018 12:00,6220,519.2,0.6506,0.054,3.89,3.363,27.1,21.3,5.62,315
02/16/2018 20:00,3900,292.9,0.535,0.068,4.48,2.795,28.2,23.6,6.08,340
02/17/2018 04:00,2280,199.2,0.42,0.069,5.01,2.311,30.9,30.1,6.42,381
02/17/2018 12:00,1400,116.9,0.3169,0.063,5.33,1.779,34,37.8,6.77,425
02/17/2018 20:00,1050,79.5,0.2477,0.055,5.53,1.545,37.4,45.7,7.11,472
02/18/2018 04:00,837,66.1,0.2106,0.055,5.41,1.337,38.8,51.3,7.36,502
02/18/2018 12:00,700,46.6,0.1824,0.051,5.17,1.247,40.4,56.3,7.39,530
