DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
01/10/1975 00:00,28958,499,0.87,0.105,7.6,,,,,961
01/10/1975 18:00,26029,579,1.05,0.095,8,,,,,965
01/11/1975 00:00,29693,656,1.29,0.08,7.6,,,,,956
01/11/1975 06:00,30100,670,1.12,0.085,8.4,,,,,957
01/11/1975 18:00,30236,632,1.08,0.1,8.4,,,,,910
01/12/1975 00:00,24890,305,1.04,0.07,8.2,,,,,907
01/12/1975 06:00,28232,671,1.04,0.075,8,,,,,935
01/12/1975 12:00,27250,252,0.91,0.08,8,,,,,843
01/12/1975 18:00,25903,372,0.9,0.09,8,,,,,823
01/13/1975 00:00,17880,408,0.68,0.32,,,,,,832
01/13/1975 06:00,22913,267,0.99,0.085,8.5,,,,,849
01/13/1975 18:00,19733,571,0.82,0.085,7.7,,,,,847
01/14/1975 18:00,14390,241,0.65,0.107,8.5,,20,,,843
01/15/1975 18:00,10715,227,0.572,0.096,8.5,,18,,,856
01/16/1975 18:00,8934,157,0.503,0.1,8.5,,18,,,855
01/17/1975 18:00,5406,90,0.382,0.032,8.5,,20,,,855
01/18/1975 18:00,5406,77,0.33,0.051,8,,19,,,870
01/19/1975 18:00,4609,64,0.322,0.103,7.7,,19,,,872
01/20/1975 18:00,3760,50,0.278,0.101,7.7,,24,,,887
01/21/1975 18:00,2753,,0.26,0.165,8.1,,29,,,891
01/22/1975 18:00,2377,,0.22,0.127,8,,35,,,914
01/23/1975 18:00,1928,,0.2,0.135,7.75,,35,,,914
01/24/1975 18:00,1878,,0.2,0.16,7.6,,35,,,932
01/25/1975 18:00,1953,,0.19,0.16,7.5,,37,,,948
01/26/1975 18:00,2133,,0.19,0.182,7.4,,46,,,946
01/27/1975 18:00,2348,,0.19,0.17,7.4,,43,,,949
01/28/1975 18:00,2873,17,0.25,0.187,6.9,,36,,,967
01/29/1975 18:00,7563,81,0.31,0.125,6.2,,35,,,960
01/30/1975 18:00,15160,160,0.48,0.123,5.52,,36,,,965
01/31/1975 18:00,18045,473,0.8,0.171,5.38,,29,,,974
02/01/1975 18:00,15940,444,0.8,0.13,5.62,,21,,,973
02/02/1975 18:00,12148,362,0.72,0.105,5.87,,18,,,960
02/03/1975 18:00,9382,208,0.67,0.13,6.3,,17,,,956
02/05/1975 18:00,5731,144,0.45,0.135,6.65,,33,,,941
02/06/1975 18:00,4812,126,0.43,0.12,6.3,,35,,,946
02/07/1975 18:00,3995,136,0.44,0.095,6.55,,36,,,945
02/08/1975 18:00,3124,70,0.378,0.125,6.5,,38,,,935
02/09/1975 18:00,2903,58,0.33,0.12,5.95,,36,,,929
02/10/1975 18:00,2813,50,0.31,0.115,6.2,,40.5,,,915
02/11/1975 18:00,1709,39,0.16,0.1,4.6,,39,,,917
02/12/1975 18:00,1928,33,0.2,0.14,6.4,,46,,,919
02/13/1975 18:00,2080,36,0.19,0.14,6.4,,50,,,917
02/14/1975 18:00,1828,33,0.2,0.15,6.3,,54,,,922
02/15/1975 18:00,1709,29,0.2,0.12,6,,58,,,931
02/16/1975 18:00,1150,28,0.2,0.15,6.3,,58,,,941
02/17/1975 18:00,1709,22,0.19,0.15,6,,62,,,945
02/21/1975 18:00,11678,143,0.377,0.15,7,,24,,,961
02/22/1975 18:00,8934,83,0.396,0.166,7.32,,22.5,,,969
02/23/1975 18:00,24704,253,0.406,0.03,7.74,,35.5,,,967
02/24/1975 18:00,42987,657,0.911,0.104,8.56,,36.5,,,998
02/25/1975 18:00,47192,714,1.12,0.104,7.94,,52,,,994
02/26/1975 09:00,46105,703,1.11,0.09,7.28,,52,,,963
02/27/1975 18:00,36265,208,0.886,0.1,5.76,,18,,,1022
02/28/1975 18:00,25456,440,0.727,0.115,5.6,,18.9,,,1024
03/01/1975 18:00,18660,341,0.603,0.09,5.16,,19.9,,,1078
03/02/1975 18:00,15004,265,,,4.8,,21.2,,,1194
03/03/1975 18:00,10850,135,0.418,0.151,4.76,,20.8,,,940
03/04/1975 18:00,7440,119,0.34,0.106,2.32,,26.5,,,951
03/06/1975 18:00,4090,39.4,0.255,0.09,2.49,,20,,,963
03/07/1975 18:00,4444,50.8,0.227,0.084,2.62,,25,,,900
03/08/1975 18:00,8889,53.6,0.231,0.114,2.83,,23.7,,,723
03/09/1975 18:00,9609,47.9,0.224,0.096,3,,28.9,,,651
03/10/1975 18:00,8194,149,0.25,0.09,5.56,,28,,,571
03/11/1975 18:00,5952,28.2,0.3,0.155,6.78,,35,,,562
03/12/1975 18:00,5915,58.7,0.25,0.12,6.79,,32,,,557
03/13/1975 18:00,5878,61.6,0.22,0.107,6.7,,36,,,536
03/14/1975 18:00,6955,20.8,0.23,0.106,6.82,,37,,,520
03/15/1975 18:00,5694,44.4,0.21,0.107,6.7,,21,,,541
03/16/1975 18:00,4845,32.4,0.21,0.115,6.9,,38,,,539
03/17/1975 18:00,4914,21.2,0.2,0.115,7.3,,43,,,541
03/20/1975 18:00,9655,51.6,0.17,0.07,3.7,,23,,,557
03/21/1975 18:00,9023,80.9,0.26,0.103,6.82,,40,,,566
03/22/1975 18:00,8023,74.5,0.34,0.113,7.3,,40,,,564
03/23/1975 18:00,6065,66.6,0.3,0.116,7.2,,38,,,570
03/24/1975 18:00,6406,90.8,0.335,0.11,7.12,,29.5,,,577
03/26/1975 18:00,4576,57.9,,0.115,6.5,,48,,,580
03/27/1975 18:00,4477,61.3,,0.1,6.8,,47,,,574
03/28/1975 18:00,4379,49.3,,0.11,6.3,,45,,,579
03/29/1975 18:00,4509,46.3,,0.115,6.2,,47,,,581
03/30/1975 18:00,10580,65.2,,0.155,6.3,,58,,,585
03/31/1975 18:00,15056,146,,0.17,5.4,,45,,,594
04/01/1975 15:00,12007,240,0.563,0.14,9.9,,97,,,604
