DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
04/11/1994 06:45,37200,399.36,0.3499,0,1.51,0.7498,19.1,64.4,6.64,354
04/12/1994 06:30,36100,185.66,0.2454,0,1.66,0.6276,20.1,69.7,6.8,373
04/13/1994 06:45,39700,120.75,0.1874,0,1.7,0.5083,17.7,57.9,6.78,334
04/14/1994 06:30,37800,334.03,0.3679,-0.001,1.64,1.1082,16.9,53.4,6.68,315
04/15/1994 06:45,35700,169.78,0.2507,0,1.7,0.6623,15.5,54,6.99,310
04/16/1994 07:15,36600,112.5,0.2129,-0.001,1.78,0.5171,16.6,50.9,6.94,321
04/17/1994 08:00,34200,97.075,0.1934,0,1.81,0.4837,17.1,53.2,6.86,331
04/18/1994 06:45,33100,79.109,0.194,0.002,1.94,0.6044,19,56.5,7.28,343
04/19/1994 07:00,32300,60.549,0.162,0.002,1.93,0.5822,19.5,37.7,7.27,358
04/20/1994 06:45,30600,55.274,0.1425,0.002,1.87,0.6086,19.6,63.8,7.53,374
04/21/1994 06:50,27100,55.377,0.1336,0.003,1.68,0.5537,19.7,74.9,7.6,394
04/22/1994 06:45,24500,49.307,0.1006,0.001,1.58,0.5312,20.4,81.1,7.55,413
04/23/1994 08:00,22200,40.219,0.0847,0,1.46,0.5189,20.9,84.1,7.05,431
04/24/1994 07:30,20100,43.447,0.1098,0.001,1.41,0.5303,21.5,83.7,6.85,437
04/25/1994 06:45,17900,38.356,0.0908,0,1.29,0.2965,23.1,95.7,6.66,455
04/26/1994 07:00,15400,45.1,0.1054,0.001,1.35,0.6456,23.7,98.4,6.58,470
04/27/1994 06:30,13700,33.993,0.0828,-0.002,1.37,0.4235,27.5,103,6.85,501
04/28/1994 06:30,12100,39.607,0.0973,-0.002,1.26,0.386,29.5,105.3,6.44,518
04/29/1994 06:40,10700,38.506,0.0939,-0.002,1.18,0.377,31.9,165.3,6.39,536
04/30/1994 06:10,9270,28.361,0.0865,-0.002,1.21,0.389,33.5,161.4,6.71,556
05/01/1994 08:00,8410,31.807,0.0855,-0.003,1.2,0.3446,35,146.3,5.81,573
05/02/1994 06:45,8070,20.737,0.0572,0,1.15,0.4453,37,115.3,6.47,591
05/03/1994 06:30,7640,26.671,0.0618,-0.001,1.28,0.4248,36.6,112.3,6.17,598
05/04/1994 06:45,7170,21.704,0.0661,-0.001,1.2,0.5655,37.7,112.8,6.34,598
05/05/1994 06:50,6720,19.758,0.059,-0.002,1.36,0.4335,40.8,119.6,6.38,623
05/06/1994 06:45,6370,20.618,0.0471,-0.002,1.19,0.3044,39.5,123.8,6.07,625
05/07/1994 07:00,6490,22.027,0.0544,-0.002,0.92,0.3647,40.4,122.5,5.57,622
05/08/1994 08:00,7700,23.92,0.0538,-0.001,1.07,0.3604,40.2,119.5,5.69,616
05/09/1994 07:00,7040,17.241,0.0574,0.001,1.35,0.4039,39,128.5,5.43,623
05/10/1994 06:50,6760,18.181,0.0559,0.002,1.28,0.4903,37.6,130.6,5.08,609
05/11/1994 06:45,6410,21.613,0.0667,0,1.22,0.492,41.6,123.2,4.75,629
05/12/1994 06:40,6050,19.851,0.0634,0.002,1.07,0.5149,40.8,127.4,4.58,636
05/13/1994 06:45,5650,19.201,0.0538,0.002,0.99,0.4767,41.4,133.7,3.97,649
05/14/1994 08:00,5010,16.47,0.0494,-0.002,0.8,0.4426,39.8,126.1,3.16,636
05/15/1994 08:15,4820,24.265,0.0714,-0.001,0.75,0.6271,40.3,111.4,2.48,639
05/16/1994 06:45,5380,22.964,0.0663,0.001,1.09,0.5277,42.9,145.6,2.71,659
05/17/1994 06:50,5550,24.771,0.0759,0.001,1.02,0.4818,41.8,157,3.04,662
05/18/1994 06:45,5540,21.392,0.0669,0,0.95,0.5603,42.9,139.8,2.72,663
05/19/1994 06:45,5440,19.987,0.0726,0,0.91,0.6438,44.6,152,2.41,651
05/20/1994 06:40,5180,20.123,0.0754,0,0.93,0.6761,43.4,149.2,2.3,663
05/21/1994 07:30,4590,18.75,0.065,-0.001,0.88,0.5935,46.6,151.7,1.9,687
05/22/1994 07:40,4290,21.688,0.0733,-0.003,0.79,0.6373,46.3,134.9,1.43,668
05/23/1994 06:45,4020,24.442,0.0723,0,0.93,0.5002,49.7,,1.64,693
05/24/1994 07:40,3770,23.965,0.07,-0.002,0.72,0.7217,46.1,171.2,0.81,670
05/25/1994 06:45,3770,24.173,0.0685,-0.003,0.66,0.6555,46.6,176.5,0.29,676
05/26/1994 06:40,4720,26.067,0.084,-0.001,0.69,0.7087,46.5,202.7,0.14,680
05/27/1994 06:40,5580,27.906,0.0949,-0.001,0.66,0.6143,46.6,194.8,0.43,683
05/28/1994 07:30,5750,32.842,0.1108,-0.004,0.59,0.6597,47.8,197.3,0.3,689
05/29/1994 08:00,5350,33.479,0.095,-0.004,0.8,0.7009,53.4,195,0.56,721
05/30/1994 07:30,4720,31.154,0.0705,-0.003,1.4,0.6389,55.7,132.2,2.96,689
05/31/1994 07:40,4140,26.331,0.083,-0.002,1.69,0.6206,46.7,105.6,3.98,646
06/01/1994 06:45,3760,22.209,0.0914,-0.001,1.37,0.705,41,117.9,3.5,628
06/02/1994 06:45,3490,24.952,0.1001,-0.001,1.21,0.7988,41.4,112,2.67,643
06/03/1994 06:40,3330,24.009,0.0952,-0.003,0.9,0.8644,44,109,1.38,646
06/04/1994 08:00,3150,26.778,0.0829,-0.004,0.58,0.9091,44.5,124.8,0.47,643
06/05/1994 08:00,2940,24.889,0.0843,-0.004,0.38,0.9793,47,127.7,0.04,651
06/06/1994 07:40,2770,21.66,0.0973,0.004,0.45,1.0312,50.6,121.5,0.38,649
06/07/1994 06:35,2850,22.619,0.0998,0.005,0.47,0.8257,52,124.1,0.43,657
06/08/1994 06:30,2600,24.234,0.0977,0.002,0.5,0.9199,52.6,126.6,0.18,667
06/09/1994 06:40,2660,24.607,0.0787,-0.001,0.59,0.7311,52.8,112.3,0.21,672
06/10/1994 06:35,2610,26.564,0.0994,0,0.54,0.9502,53.8,120.3,0.22,681
06/11/1994 07:45,2370,22.352,0.0876,0,0.38,0.9816,56.3,115.8,0.2,696
06/12/1994 07:45,2280,28.294,0.0967,-0.002,0.31,0.991,57.9,121,0.28,688
06/13/1994 06:45,2190,37.396,0.1083,0.007,0.55,0.6673,58.3,136.5,0.6,681
06/14/1994 06:30,2070,33.929,0.1876,0.021,0.78,1.5286,61.7,125.8,0.57,695
06/15/1994 06:40,2030,25.064,0.0858,0.002,0.24,0.7212,61.7,126.4,0.83,697
06/16/1994 07:45,1990,23.631,0.0863,0.003,0.3,0.6441,62.8,126.7,0.96,705
06/17/1994 07:30,1980,19.903,0.0761,0.002,0.23,0.6981,63.4,128.9,1.1,715
06/18/1994 08:00,1960,22.068,0.0805,0.004,0.19,0.8228,67.2,118.8,1.34,730
06/19/1994 07:10,2080,17.068,0.0695,0.003,0.1,0.7718,67.6,124.7,1.45,735
06/20/1994 18:45,2100,18.59,0.0804,0.008,0.53,0.628,71.9,138.5,1.76,724
06/21/1994 18:45,2060,13.793,0.0726,0.006,0.34,0.6856,69.3,130.7,1.85,719
06/22/1994 18:40,2140,7.7538,0.0835,0.01,0.16,0.9006,63.9,123.5,1.95,696
06/23/1994 18:45,2290,8.9116,0.0579,0.004,0.11,1.7221,61.3,118.6,1.88,687
06/24/1994 18:35,2550,8.0886,0.0538,0.004,0.19,0.7315,69.9,116.6,3.06,730
06/25/1994 19:30,2850,9.4775,0.0555,0.002,0.22,0.7289,69.9,113,3.51,743
06/26/1994 20:00,3370,10.125,0.0605,0.002,0.27,0.8424,65.8,104.8,4.31,718
06/27/1994 18:30,3940,12.987,0.0782,0.006,0.99,0.2925,71.2,118.3,4.98,777
06/28/1994 18:40,4550,20.871,0.092,0.001,1.45,0.4848,57.2,136.9,6.45,733
06/29/1994 18:30,5490,20.736,0.093,0.005,1.64,0.4971,52.3,100,6.85,697
06/30/1994 18:45,6540,18.057,0.0938,0.006,2.13,0.4189,49.2,96.85,8.06,666
07/01/1994 18:40,7100,34.545,0.1082,0.007,2.5,0.4369,43.9,104.2,7.63,615
07/02/1994 20:00,6500,30.855,0.1138,0.01,3.53,0.5845,39.2,96.8,7.99,586
07/03/1994 20:00,5670,33.274,0.118,0.006,3.21,0.6273,39.3,97.1,7.85,584
07/04/1994 08:00,4970,34.724,0.1298,0.041,3.15,0.518,41.1,104.6,8.21,581
07/05/1994 06:45,5400,34.677,0.116,0.038,2.7,0.5783,46.7,106.3,8.13,619
07/06/1994 06:40,5060,26.832,0.1122,0.038,2.77,0.6623,42.9,125.5,7.58,628
07/07/1994 08:45,4350,41.084,0.1262,0.041,2.87,0.6952,43.1,113,7.78,636
07/08/1994 08:00,3800,21.755,0.1122,0.041,2.86,0.5958,52,126.7,7.79,667
07/09/1994 08:15,3640,31.588,0.1236,0.037,3.26,0.7054,40.8,83.7,7.72,601
07/10/1994 08:00,4610,39.356,0.1255,0.034,3.22,0.7307,40.6,114.4,8.02,616
07/11/1994 06:40,5950,32.125,0.1147,0.031,2.55,0.6159,43.3,104,8.1,658
07/12/1994 06:45,4880,30.805,0.1269,0.032,2.32,0.64,53.4,117,8.08,697
07/13/1994 06:40,3910,31.979,0.1297,0.026,2.08,0.6503,45.7,91.1,7.89,583
07/14/1994 06:45,3520,32.803,0.1337,0.027,1.87,0.7745,40.6,91.6,7.89,558
07/15/1994 06:45,3380,25.171,0.1148,0.031,1.77,0.6596,39.2,94.9,7.9,574
07/16/1994 07:00,3410,26.408,0.1146,0.02,1.57,0.644,40,99.5,7.84,585
07/17/1994 12:00,3550,29.987,0.1193,0.012,1.4,0.7409,41.9,99.5,7.84,585
07/19/1994 06:30,2710,20,0.1218,0.041,1.39,0.5471,49.8,114.9,6.71,655
07/20/1994 06:45,2440,21.103,0.1222,0.025,1.42,0.5609,51.8,111.9,6.57,667
07/21/1994 06:40,2240,21.407,0.115,0.024,1.37,0.5685,51.2,100.2,5.92,668
07/22/1994 06:45,2150,20.824,0.1151,0.014,1.33,0.7,50,92.9,5.88,664
07/23/1994 07:15,2360,18.632,0.1136,0.027,1.2,0.7175,58.2,102.3,4.98,680
07/24/1994 06:45,2560,21.32,0.1125,0.028,0.85,0.4326,54.5,174.4,3.2,664
07/24/1994 07:20,2560,21.638,0.1131,0.016,0.81,0.863,54,110.1,3.78,653
07/26/1994 06:35,2350,17.311,0.0969,0.021,0.82,0.5222,56.8,184.2,3.26,674
07/27/1994 06:40,2260,15.815,0.0957,0.021,0.8,0.5251,57.5,200.7,3.06,664
07/28/1994 06:40,2210,24.261,0.1046,0.011,0.76,0.4351,59.1,195.1,2.78,663
07/29/1994 06:45,2080,17.65,0.1031,0.024,0.81,0.5602,65.9,241,2.69,706
07/30/1994 07:20,2320,17.018,0.0972,0.004,0.54,0.6238,66.9,211.1,1.8,725
07/31/1994 09:00,2560,19.896,0.0976,-0.001,0.2,0.8374,65.2,231.9,0.77,680
08/01/1994 06:35,2460,21.574,0.0952,-0.001,0.35,0.6721,69.6,279.1,0.7,683
08/02/1994 06:45,2520,18.709,0.104,0.009,0.37,0.7461,72.5,288.5,0.57,691
08/03/1994 06:45,2330,18.293,0.0942,0.006,0.54,0.6055,62.5,278.5,0.71,681
08/04/1994 06:50,2370,16.071,0.0881,0.002,0.4,0.6474,56.1,267.4,0.73,641
08/05/1994 07:45,2740,17.148,0.086,0,0.16,0.717,51.2,246.8,0.62,598
08/06/1994 08:00,2880,20.474,0.1095,0.004,0.03,0.9032,59.2,269.5,0.65,646
08/07/1994 07:40,3120,27.424,0.1195,0,0.17,1.1041,63.8,283.1,0.01,675
08/08/1994 06:45,2990,21.421,0.1099,0.004,0.3,0.9683,69.7,167.3,0.91,710
08/09/1994 06:40,2560,16.427,0.1042,0.007,0.39,0.8278,60.4,163.4,0.97,675
08/10/1994 06:45,2170,18.724,0.1067,0.007,0.56,0.802,54.7,165.7,0.95,655
08/11/1994 06:45,1950,17.381,0.1022,0.011,0.54,0.7443,59.1,163.1,0.95,661
08/12/1994 06:40,1830,17.765,0.0958,0.007,0.41,0.7689,68.9,173.8,1.01,704
08/13/1994 07:45,1770,15.789,0.0891,0.01,0.44,0.7417,64.8,193.6,1.26,714
08/14/1994 08:15,1750,15.921,0.0931,0.011,0.59,0.7592,57.3,194.6,1.09,707
08/15/1994 06:45,3430,17.182,0.086,0.022,0.82,0.4171,49.4,153.6,1.97,664
08/16/1994 06:45,5770,27.427,0.1187,0.032,0.92,0.6533,57.6,155.9,2.28,711
08/17/1994 06:40,6230,43.207,0.118,0.03,1.24,0.5751,37.6,94.2,5.47,510
