DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
11/05/2019 20:00,0.55,27.929,0.1752,0.0693,9.58,1.198,86,118.3,9.4722,927
11/06/2019 20:00,0.38,9.9469,0.1248,0.0558,8.15,0.946,91.9,132.1,9.0472,960
11/07/2019 20:00,0.38,13.097,0.1217,0.0415,6.9,1.099,92.5,140.4,8.7969,993
11/08/2019 20:00,0.28,21.206,0.122,0.0357,5.82,0.949,98.7,153.5,8.5451,1047
11/09/2019 20:00,0.23,12.787,0.1037,0.03,5.2,1.041,100.6,164.6,8.4854,1062
11/10/2019 20:00,0.21,15.364,0.0987,0.024,4.43,1.293,97.4,185.9,8.3828,1097
11/11/2019 04:00,0.2,22.651,0.1121,0.0229,4.15,1.146,97.5,178.8,7.7431,1094
11/11/2019 07:33,0.2,25.033,0.1111,0.0221,4.16,1.051,101.2,184,7.8939,1097
11/11/2019 12:00,0.2,23.684,0.1019,0.0212,3.82,0.766,97.6,177.3,7.3537,1096
11/12/2019 12:00,0.38,14.426,0.1282,0.0466,3.2,1.015,113.4,179.6,7.4183,1151
11/13/2019 12:00,0.44,15.655,0.1392,0.0468,3.45,0.945,111.1,183.6,7.9616,1158
11/14/2019 12:00,0.35,16.997,0.1209,0.0388,3.69,1.004,114.1,189.9,7.5628,1175
11/15/2019 12:00,0.4,14.322,0.1096,0.0418,3,1.032,114.2,179.2,6.9264,1163
11/16/2019 12:00,0.65,19.569,0.1511,0.064,7.41,1.127,111.7,145.8,6.7532,1105
11/17/2019 12:00,0.76,14.755,0.1176,0.0426,4.48,0.827,147.7,142.4,6.4042,1192
11/18/2019 04:00,0.78,21.359,0.1192,0.0506,2.81,0.882,173.8,142.8,6.6453,1265
11/18/2019 07:30,0.77,22.664,0.1195,0.048,2.83,0.671,188.7,147.5,6.8833,1314
