DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
10/11/1982 16:20,1.65,1.7,0.256,,0.14,,41.3,,,
10/19/1982 10:30,1.65,3.5,0.207,0.169,0.24,0.86,44.5,,,
10/26/1982 11:05,3.09,5.4,0.154,0.114,0.31,0.81,42.2,,,
11/01/1982 09:20,5.24,5.7,0.304,0.192,0.14,0.96,34,,,
11/09/1982 10:45,5.24,2.9,0.133,0.07,0.18,0.47,45.7,,,
11/16/1982 10:20,3.09,7.3,0.118,0.055,0.31,0.58,51.9,,,
11/23/1982 10:25,11.4,5.9,0.105,0.023,1.65,0.63,44.5,,,917
11/30/1982 15:10,39.5,38,0.266,0.009,6.31,,28,,,898
12/07/1982 10:35,10.2,5.4,0.081,0.016,3.15,0.63,45.3,,,521
12/14/1982 10:15,7.9,12,0.104,0.051,2.2,0.88,45,,,360
12/21/1982 10:45,32.8,38,0.184,0.051,5.68,1.1,21.9,,,365
01/04/1983 11:10,4.16,8.5,0.082,0.027,3.38,0.56,32,,,363
01/18/1983 11:15,5.24,5.2,0.027,0.013,1.95,0.3,47.2,,,381
01/19/1983 13:00,4.36,4.5,0.026,0.003,2.09,0.28,45.3,,,420
01/20/1983 13:00,4.15,9.1,0.022,0.004,1.97,0.38,43.5,,,460
01/21/1983 13:00,3.94,6,0.022,0.001,1.75,0.26,47.7,,,495
01/22/1983 13:00,3.96,-0.6,0.046,0.016,1.57,0.35,43.6,,,539
01/23/1983 13:00,4.39,2.6,0.022,0.002,1.46,0.27,37,,,584
01/24/1983 13:00,4.82,0.2,0.024,0.001,1.52,0.24,36.2,,,664
01/25/1983 07:00,5.15,2.4,0.028,0.001,1.66,0.23,42.8,,,714
01/25/1983 13:00,5.28,9.2,0.047,0.005,1.66,0.2,45.2,,,742
01/26/1983 13:00,6.39,16.7,0.042,0.002,1.66,0.26,45.1,,,767
01/27/1983 13:00,8.16,6.4,0.025,0.002,1.47,0.26,40.3,,,796
01/28/1983 13:00,10.64,7.3,0.031,0.002,1.32,0.32,42.8,,,821
01/29/1983 13:00,5.47,7.9,0.031,0.002,1.31,0.29,44.5,,,850
01/30/1983 13:00,6.19,2.6,0.027,0.003,1.64,0.31,44.7,,,844
01/31/1983 13:00,13.65,2.6,0.028,0.002,1.61,0.31,44,,,881
02/01/1983 07:00,16.77,3,0.025,0.005,1.81,0.31,48.7,,,877
02/01/1983 13:00,17.69,8.5,0.035,0.001,1.88,0.35,49.2,,,902
02/02/1983 13:00,21.02,5.1,0.056,0.008,1.82,0.5,45.6,,,932
02/03/1983 13:00,74.99,34.4,0.174,0.021,3.59,1.09,37.9,,,934
02/03/1983 19:00,78.86,40.2,0.199,0.032,4.55,1.3,31.3,,,975
02/04/1983 01:00,82.73,70.4,0.243,0.037,5.01,1.37,25,,,972
02/04/1983 07:00,86.6,61.4,0.244,0.022,5.94,1.51,23,,,1050
02/04/1983 13:00,87.88,34.5,0.198,0.023,6.43,1.29,23.6,,,1036
02/05/1983 13:00,41.39,14.3,0.133,0.014,6.75,1.23,26.8,,,1051
02/06/1983 13:00,27.73,6.1,0.086,0.007,6.12,0.69,28.2,,,1032
02/07/1983 13:00,20.56,4.4,0.063,0.006,5.18,0.68,31.4,,,1054
02/08/1983 07:00,17.59,4.8,0.049,0.004,4.66,0.56,33.2,,,1062
02/08/1983 13:00,16.61,8.4,0.03,0.011,4.52,0.61,32.4,,,1057
02/09/1983 13:00,13.04,5.3,0.024,0.008,4.06,0.53,35.8,,,1057
02/10/1983 13:00,12.71,3.7,0.021,0.008,3.54,0.52,40.7,,,1087
02/11/1983 13:00,9.97,4.8,0.017,0.005,3.12,0.39,35.7,,,1065
