DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
01/08/2018 12:00,0.4,9.1,0.1038,0.011,1.28,0.879,103.9,151.8,1.57,1214
01/15/2018 14:20,90.1,16.337,0.1102,0.055,7.46,0.746,34.2,58.5,7.3,662
01/22/2018 13:15,39.5,21.261,0.1086,0.06,4.55,0.761,41.6,68.1,6.34,728
01/29/2018 13:23,70.2,14.483,0.0726,0.036,7.26,0.76,32.2,67.4,6.97,687
02/05/2018 13:45,22.9,5.9406,0.0565,0.027,5.53,0.582,40.6,82.1,4.99,801
02/12/2018 13:13,8.67,6.9686,0.077,0.044,3.99,0.574,52,88.4,3.29,830
02/19/2018 13:32,302,200.4,0.3816,0.045,7.23,1.728,26.3,44.4,6.3,572
02/26/2018 13:15,496,80.4,0.39,0.065,5,1.692,15,24.2,7.07,411
03/05/2018 13:11,165,40.943,0.1515,0.036,5.25,1.108,21.4,42.8,7.07,545
03/12/2018 13:05,33.7,22.029,0.0915,0.034,4.99,0.639,29.3,63.8,5.95,686
03/19/2018 09:20,20.2,9.1027,0.047,0.009,4.53,0.491,33.2,71.8,4.04,702
03/26/2018 09:30,9.35,9.894,0.0349,0.008,2.31,0.589,34.9,89,5.41,672
04/02/2018 09:25,120,36.036,0.1343,0.034,6.6,0.866,21.3,46.4,6.75,583
04/09/2018 09:20,62.8,16.096,0.07,0.008,6.29,0.628,26,63,5.72,650
04/16/2018 09:40,1090,103.15,0.5413,0.068,5.81,4.292,9.5,16.3,6.39,322
04/23/2018 12:20,60.1,9.2264,0.0439,0.01,5.04,0.642,26.7,58.6,3.24,638
04/30/2018 10:30,30.2,7.2415,0.026,0,3.62,0.533,32,64.4,0.5,624
04/30/2018 12:00,30.2,8.6264,0.0279,0.004,3.24,0.698,30.8,62.6,0.4,623
05/01/2018 12:00,27.4,10.183,0.0307,0.004,3.08,0.712,32,64.2,0.36,627
05/02/2018 12:00,27.4,10.06,0.0365,0.004,2.9,0.735,32.2,64.2,0.26,626
05/03/2018 04:00,41.4,279.29,0.3689,0.034,3.77,2.274,26.9,52.3,1.73,543
05/03/2018 12:00,472,478.06,0.8585,0.108,6.16,4.214,17.5,26.2,5.16,405
05/03/2018 20:00,639,226.16,0.6417,0.113,6.48,3.149,14.9,20,6.82,365
05/04/2018 04:00,583,133.2,0.4681,0.081,7.09,2.469,16.9,23.6,7.41,411
05/04/2018 12:00,478,127.76,0.3642,0.059,7.36,2.031,15.6,26.8,7.43,433
05/04/2018 20:00,352,84.051,0.2793,0.053,7.62,1.392,17,29.7,7.73,469
