DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
10/02/1974 09:10,41,16.5,0.27,0.226,0.16,,,,,794
10/07/1974 09:40,51,37.3,0.39,0.025,0,,,,,817
10/09/1974 09:30,41,31.5,0.26,0.073,0.01,,,,,856
12/07/1974 11:00,340,12,0.217,0.005,3.25,,,,,891
12/07/1974 17:00,375,10.2,0.147,0.09,4.35,,,,,866
12/07/1974 23:00,397,58,0.157,0.115,4.2,,,,,879
12/08/1974 05:00,412,10.9,0.155,0.125,4.35,,,,,922
12/08/1974 11:00,435,58.9,0.167,0.12,4.15,,,,,923
12/08/1974 17:00,451,6.8,0.173,0.125,4.05,,,,,867
12/08/1974 23:00,491,7.8,0.163,0.13,4.2,,,,,899
12/09/1974 05:00,577,14.1,0.21,0.15,4.25,,,,,792
12/09/1974 11:00,856,51.1,0.22,0.125,4.6,,,,,653
12/09/1974 17:00,1190,102,0.3,0.09,5.55,,,,,714
12/09/1974 23:00,1800,128,0.373,0.095,5.8,,,,,565
12/10/1974 05:00,2290,,0.34,,,,,,,548
12/10/1974 11:00,2640,105,0.29,0.075,6.95,,,,,496
12/10/1974 17:00,2760,,0.23,,,,,,,491
12/10/1974 23:00,2700,,0.24,,,,,,,456
12/11/1974 05:00,2450,,0.17,,,,,,,462
12/11/1974 11:00,2180,,0.24,,,,,,,492
12/11/1974 17:00,1920,,0.18,,,,,,,485
12/11/1974 23:00,1640,,0.23,,,,,,,498
12/12/1974 05:00,1480,33.7,0.183,0.085,8,,,,,508
12/12/1974 11:00,1340,98.5,0.187,0.08,7.1,,,,,563
12/12/1974 17:00,1240,58.8,0.19,0.08,7.35,,,,,594
12/12/1974 23:00,1320,68.5,0.225,0.087,7.05,,,,,607
12/13/1974 05:00,1550,58.6,0.218,0.09,6.9,,,,,656
12/13/1974 11:00,1080,68,0.2,0.085,7.05,,,,,682
12/13/1974 17:00,2190,65.2,0.205,0.08,7.5,,,,,709
12/13/1974 23:00,2350,63.4,0.207,0.075,6.95,,,,,733
12/14/1974 05:00,2530,66.5,0.193,,7.05,,,,,772
12/14/1974 11:00,2760,91.5,,0.095,7.4,,,,,794
12/14/1974 17:00,2940,100,,0.08,7.3,,,,,834
12/14/1974 23:00,3080,117,,0.075,7.9,,,,,841
12/15/1974 05:00,3170,105,,0.08,8.2,,,,,863
12/15/1974 11:00,3380,110,,0.075,8.3,,,,,862
12/15/1974 17:00,3670,120,,0.07,8.7,,,,,858
12/15/1974 23:00,3980,139,,0.07,8.8,,,,,915
12/16/1974 05:00,4520,191,,0.07,9.1,,,,,916
12/16/1974 11:00,5420,233,,0.06,9.4,,,,,896
12/16/1974 17:00,6230,338,,0.06,9.2,,,,,927
12/16/1974 23:00,6720,360,,0.055,9.1,,,,,948
12/17/1974 05:00,6830,230,,0.05,9,,,,,988
12/17/1974 11:00,6590,282,,0.06,8.8,,,,,945
12/17/1974 17:00,6190,242,,0.06,8.9,,,,,985
12/17/1974 23:00,5850,303,,0.06,9,,,,,1021
12/18/1974 05:00,5550,174,,0.065,8.8,,,,,1021
12/18/1974 11:00,5200,126,,0.06,8.6,,,,,1001
12/18/1974 17:00,4770,136,,0.07,8.7,,,,,1022
12/18/1974 23:00,4320,118,,0.07,8.7,,,,,1052
12/19/1974 11:00,3450,70.6,,0.06,8.5,,,,,1060
12/19/1974 17:00,3080,90.3,0.228,0.08,7.6,,,,,1048
12/19/1974 23:00,2720,57.2,0.19,0.07,9.1,,,,,1041
12/20/1974 05:00,2410,74.7,0.16,0.08,8.8,,,,,1062
12/20/1974 11:00,2270,49.3,0.118,0.07,9.4,,,,,1082
12/20/1974 23:00,1590,47.9,0.122,0.075,9,,,,,1065
12/21/1974 05:00,1420,32.3,0.125,0.085,8.8,,,,,1095
12/21/1974 11:00,1290,,0.14,0.08,4.4,,,,,1130
12/21/1974 17:00,1170,28.9,0.129,0.075,7.8,,,,,1148
12/21/1974 23:00,1100,,0.11,0.08,8.4,,,,,1134
12/22/1974 05:00,1010,17.5,0.087,0.08,10,,,,,1066
12/22/1974 11:00,936,28.8,0.084,0.075,6.9,,,,,849
12/22/1974 17:00,869,36.2,0.076,0.07,6.8,,,,,978
12/22/1974 23:00,817,28.6,0.08,0.085,6.5,,,,,976
12/23/1974 05:00,707,25.5,0.1,0.095,6.9,,,,,678
12/23/1974 11:00,579,22.8,0.084,0.09,7.1,,,,,632
12/23/1974 17:00,515,30.1,0.11,0.1,7,,,,,658
12/23/1974 23:00,547,63.3,0.137,0.095,6.5,,,,,703
12/24/1974 05:00,896,113,0.19,0.09,6.3,,,,,668
12/24/1974 11:00,1780,138,0.228,0.08,6.1,,,,,625
12/24/1974 17:00,3650,214,0.369,0.09,6.2,,,,,599
12/24/1974 23:00,5660,174,0.296,0.08,6.4,,,,,563
01/03/1975 16:00,2370,108,0.241,0.03,4.3,,29,,,522
