DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
04/23/1996 20:00,7514.2,110.4,0.2388,0.057,3.721,1.3617,37.3,52.6,4.59,617
04/24/1996 04:00,13165,226.78,0.4097,0.087,3.842,1.5371,35.9,55.2,4.9,596
04/24/1996 12:00,16604,293.09,0.4588,0.07,2.909,1.8526,32.7,54.5,4.78,496
04/24/1996 20:00,19220,258.19,0.418,0.06,2.983,1.6061,28.4,41.1,5.22,472
04/25/1996 04:00,21925,222.3,0.3781,0.053,3.002,1.504,26.8,40.6,5.27,460
04/25/1996 12:00,22986,198.93,0.3448,0.047,3.254,1.7375,27.3,40.6,5.36,477
04/25/1996 20:00,23418,159.47,0.336,0.055,3.66,1.4207,25.3,41.1,5.82,469
04/26/1996 20:00,19774,131.52,0.3148,0.07,4.36,1.3509,24,35.6,6.06,453
04/27/1996 20:00,14535,136.73,0.3563,0.061,4.617,1.3053,24.2,47.1,6.5,466
04/28/1996 20:00,12413,106.78,0.3115,0.056,4.618,1.2672,25.3,40.1,5.9,481
04/29/1996 04:00,11706,101.88,0.297,0.06,4.441,1.0556,24.8,38.5,5.45,478
04/29/1996 12:00,13651,267.72,0.3552,0.037,4.694,1.384,21.8,38.5,5.47,459
04/29/1996 20:00,19402,402.98,0.5794,0.005,4.165,1.8711,16.9,28.8,5.36,380
04/30/1996 04:00,21550,353.08,0.5107,0.011,3.431,1.8247,16,26.8,5.18,346
04/30/1996 12:00,25305,366.15,0.5402,0.036,3.348,1.9966,15.1,21.4,5.4,328
04/30/1996 20:00,29339,257.63,0.4933,0.035,3.372,1.8919,15.4,21.6,5.8,320
05/01/1996 04:00,31720,236.39,0.5015,0.03,3.472,1.8541,15.5,22.6,5.75,329
05/01/1996 12:00,34253,287.76,0.5263,0.007,3.528,1.9052,15.9,24.5,5.95,340
05/01/1996 20:00,36986,306.51,0.5295,0.026,3.432,1.9279,15.5,24.8,6.06,340
05/02/1996 04:00,38282,263.6,0.4922,0.029,3.297,1.7076,15,23.2,5.87,336
05/02/1996 12:00,37672,191.3,0.4542,0.039,3.478,1.4974,15.3,25.5,6.26,339
05/02/1996 20:00,34624,167.61,0.4364,0.007,3.444,1.5399,16.6,23.6,5.92,353
05/03/1996 04:00,29768,132.18,0.395,0.027,3.587,1.3475,17.3,27.1,6,368
05/03/1996 12:00,24210,124.03,0.3694,0.045,3.92,1.4929,18,29.4,6.4,388
05/03/1996 20:00,19588,115.32,0.3741,0.06,4.199,1.339,18.8,33.7,6.68,412
05/04/1996 04:00,17600,99.243,0.3349,0.058,4.358,1.3119,21.3,32.2,6.16,439
05/04/1996 12:00,18410,263.72,0.4181,0.007,3.886,1.5953,18.6,31.1,6.1,416
05/04/1996 20:00,22600,387.77,0.6162,0.035,3.319,1.9908,13.9,24.1,5.39,339
05/05/1996 04:00,21720,272.66,0.5563,0.045,3.504,1.7911,15.9,28.2,6.3,369
05/05/1996 12:00,20477,152.88,0.3979,0.044,3.608,1.5663,17.7,30.7,6.29,393
05/05/1996 20:00,19960,116.39,0.3268,0.05,3.966,1.5736,20.3,31.6,6.05,411
05/06/1996 04:00,21200,127.18,0.315,0.046,4.011,1.3733,18.6,31.1,6.28,399
05/06/1996 12:00,21788,262.3,0.451,0.042,3.254,1.7466,16.8,25.8,6.02,379
05/07/1996 12:00,20508,160.1,0.3484,0.046,3.51,1.2597,19.4,33,6.54,421
05/08/1996 12:00,16548,101.2,0.2744,0.056,3.647,1.0606,21.1,30.7,6.33,454
05/09/1996 12:00,18170,105.68,0.2927,0.06,3.4,1.0749,19.3,33.7,6.38,427
05/10/1996 12:00,26012,262.87,0.5037,0.052,2.206,1.4925,14,20.9,5.06,324
05/10/1996 20:00,27978,261.15,0.5319,0.042,2.11,1.5872,14.1,22,5.6,325
05/11/1996 04:00,28481,215.4,0.5019,0.048,2.262,1.5208,13.7,21.3,5.64,332
05/11/1996 12:00,27826,148.78,0.4082,0.041,2.405,2.3441,14.1,23,6.22,362
05/12/1996 12:00,24427,127.4,0.345,0.06,2.525,1.2891,16.8,27.5,6.34,387
05/13/1996 04:00,28054,193.74,0.4237,0.052,2.257,1.5667,14.2,25.4,5.85,349
05/13/1996 12:00,30800,195.47,0.4047,0.031,2.265,1.3382,14,23.2,5.4,346
05/14/1996 12:00,27028,185.72,,,2.273,1.5067,17.5,30.1,5.34,394
05/15/1996 12:00,18380,112.3,0.3075,0.063,3.007,1.0755,18.4,31.1,5.69,402
05/16/1996 12:00,21014,170.67,0.3533,0.053,2.473,1.2238,15.6,29.2,5.28,360
