DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
02/06/2017 10:30,2930,13.375,0.2582,0.261,3.74,0.508,51.7,68.8,7.37,760
02/07/2017 10:35,3960,73.321,0.2602,0.155,3.12,0.614,45.8,64.5,6.71,685
02/08/2017 11:55,9800,135.13,0.2351,0.09,2.62,0.728,33.8,50.7,6.74,550
02/09/2017 10:35,13100,136.54,0.3249,0.123,3.09,0.911,49.9,42.2,5.84,600
02/10/2017 11:05,12200,57.291,0.2299,0.11,3.96,0.838,43.1,49,6.83,624
02/13/2017 10:10,7380,53.551,0.1978,0.09,3.36,0.517,36.9,51.1,6.92,560
02/14/2017 10:10,11100,73.452,0.2951,0.151,3.66,0.709,59.6,61.5,6.53,685
02/15/2017 09:35,9380,72.229,0.2751,0.11,4.14,0.823,46,51,6.55,596
02/16/2017 10:10,7550,48.338,0.4232,0.126,4.3,0.525,47.6,54.7,6.66,622
02/17/2017 10:25,5920,35.765,0.2319,0.13,4.14,0.501,45.6,57,6.49,636
02/20/2017 13:00,3520,19.249,0.2168,0.135,3.37,0.577,46.3,67.4,6.17,678
02/21/2017 10:05,3310,22.954,0.2159,0.135,3.35,0.554,46.3,67.1,6.18,683
02/22/2017 10:45,3130,22.165,0.2411,0.16,3.36,0.582,48.2,68.7,6.05,702
02/23/2017 10:20,3010,24.809,0.2414,0.166,3.35,0.621,48.5,69.8,5.88,703
02/24/2017 10:00,3100,26.122,0.2705,0.189,3.44,0.516,50.2,72.7,5.73,717
02/27/2017 12:35,4620,34.7,0.2286,0.143,2.66,0.496,52.3,59.7,5,653
02/28/2017 11:40,4710,17.3,0.1598,0.097,2.29,0.422,48.8,51.3,4.91,622
03/01/2017 11:30,25800,346.6,0.3373,0.03,1.67,0.843,16.9,31.1,6.68,322
03/02/2017 10:32,44400,440.4,0.7155,0.08,1.3,1.757,8.4,14.7,6.05,219
