DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
09/24/2018 08:10,0.24,15.625,0.193,0.186,0,0.415,49,121.2,1.47,844
10/01/2018 07:40,0.25,24.154,0.1087,0.047,0.25,0.572,82.4,112.8,0.58,937
10/08/2018 08:18,6.35,12.024,0.292,0.186,0.05,1.579,36.9,50.2,11.78,578
10/15/2018 08:10,0.67,8.7609,0.091,0.053,1.1,0.554,70.3,96.8,3.78,908
10/22/2018 08:10,0.48,17.916,0.057,0.015,0.34,0.419,72.4,132.3,0.52,993
11/05/2018 08:05,14,19.531,0.193,0.086,5.83,0.946,31,44.4,9.67,593
11/11/2018 08:15,5.23,10.409,0.105,0.051,5.33,0.538,39.3,66.6,9.99,759
11/26/2018 08:10,53.5,232.1,0.851,0.178,3.16,2.374,22.1,21.8,6.58,363
12/03/2018 08:10,15.6,13.282,0.321,0.177,4.39,0.974,32.9,41.6,8.51,555
12/10/2018 08:05,4.49,12.426,0.147,0.105,2.99,2.14,49.9,68.6,7.23,861
12/17/2018 08:05,20.6,26.881,0.549,0.31,4.15,1.383,43.3,37.2,7.71,534
01/07/2019 08:10,7.4,13.2,0.082,0.036,3.53,0.496,36.4,74.9,7.12,743
01/14/2019 08:25,7.8,8.5227,0.047,0.009,3.32,0.32,52.6,89.9,5.78,846
02/04/2019 08:00,20.9,116.89,0.609,0.318,1.67,1.654,26.4,16.5,3.96,328
02/18/2019 09:35,5.49,31.972,0.408,0.257,3.57,1.157,120.7,72.2,7.11,1014
02/25/2019 08:05,11.8,36.961,0.239,0.06,4.51,1.085,22.9,40.2,7.15,497
03/11/2019 08:00,15.1,57.644,0.3647,0.091,3.86,1.372,19.6,25.8,5.9,400
03/18/2019 08:10,7.17,15.331,0.084,0.023,4.26,0.575,34.1,69.7,5.38,697
03/25/2019 08:05,5.95,15.764,0.054,0.006,3.74,0.616,36.9,78.4,2.78,745
04/01/2019 08:05,14.9,34.506,0.257,0.07,3.94,1.108,26.4,34.4,7.08,495
