DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
10/02/2000 12:00,,14.332,0.066,0.018,0.89,0.859,16.2,70.5,2.45,563
10/03/2000 12:00,,3.711,0.041,0.014,0.58,0.722,17.8,73.8,1.36,563
10/04/2000 12:00,,2.572,0.036,0.013,0.42,0.67,16.3,74.7,1.15,566
10/05/2000 12:00,,6.97,0.034,0.011,0.39,0.616,20.6,73,1.39,624
10/06/2000 12:00,,18.468,0.303,0.207,1.13,1.002,14,72.6,5.37,538
10/07/2000 12:00,,23.328,0.196,0.106,2.19,1.06,14.7,58.1,6.21,498
10/08/2000 12:00,,19.573,0.189,0.111,2.85,1.049,20.4,49.5,7.52,555
10/09/2000 04:00,,14.53,0.142,0.081,2.36,0.858,20.6,58.1,,570
10/09/2000 08:15,,10.788,0.135,0.076,2.06,0.54,20.4,59.4,8.33,583
10/10/2000 04:00,,10.559,0.185,0.125,2.53,0.854,20.3,62.6,8.49,595
10/11/2000 04:00,,4.19,0.131,0.08,2.15,0.709,22.4,69.2,7.9,605
10/12/2000 04:00,,4.824,0.093,0.054,2.2,0.689,23.4,72.7,7.03,614
10/13/2000 04:00,,0.207,0.069,0.037,1.94,0.689,25.5,75.3,6.12,626
10/14/2000 04:00,,3.67,0.057,0.026,1.62,0.614,27.8,77.4,4.8,630
10/15/2000 04:00,,2.803,0.042,0.016,1.37,0.609,32.8,78.8,3.19,637
10/16/2000 12:00,,1.952,0.036,0.013,1.16,0.607,39.7,80.9,2.52,637
10/16/2000 20:00,,3.013,0.026,0.003,0.89,0.553,23.4,85.9,2.36,643
10/17/2000 04:00,,2.817,0.024,0.002,0.86,0.505,10.7,85.8,1.76,639
10/17/2000 12:00,,3.346,0.03,0.006,0.81,0.589,9,84.7,1.82,643
10/18/2000 12:00,,2.509,0.027,0.007,0.5,0.514,10,85.6,1.54,632
10/18/2000 20:00,,3.51,0.025,0.002,0.66,0.493,10,87.8,1.38,638
10/19/2000 04:00,,2.825,0.023,0.002,0.66,0.505,14.3,89.3,1.56,642
10/19/2000 12:00,,1.749,0.023,0.006,0,0.529,15.9,87,1.66,637
10/19/2000 20:00,,1.796,0.021,0.002,0,0.51,19.4,89,1.08,644
10/20/2000 04:00,,3.106,0.019,0.001,0,0.494,21.1,89.2,1.46,654
10/20/2000 12:00,,1.716,0.02,0.006,0,0.447,22,89.1,1.65,641
10/20/2000 20:00,,3.209,0.018,0.002,0,0.471,23.8,88.8,1.14,647
10/21/2000 04:00,,2.927,0.017,0.001,0,0.497,21.6,89.5,1.11,651
10/21/2000 12:00,,1.266,0.02,0.009,0,0.48,26.3,92.4,1.56,650
10/21/2000 20:00,,4.128,0.019,0.001,0,0.482,14,91.1,0.85,661
10/22/2000 04:00,,1.411,0.016,0.002,0,0.463,13,89.2,0.92,649
10/22/2000 12:00,,2.092,0.018,0.007,0.52,0.464,17.5,91.3,1.53,646
10/22/2000 20:00,,2.857,0.018,0.001,0,0.499,23.1,91.4,0.82,663
10/23/2000 04:00,,1.703,0.015,0.001,0,0.504,12.9,90.5,0.98,656
10/23/2000 12:00,,0.322,0.019,0.002,0,0.516,13.1,91.8,1.66,647
10/23/2000 20:00,,2.221,0.016,0.001,0,0.506,12.7,138.9,0.93,673
10/24/2000 04:00,,3.103,0.02,0.001,0,0.532,13.5,92.7,1.52,664
10/24/2000 12:00,,4.734,0.02,0.002,0,0.527,14.5,93.2,1.41,659
10/24/2000 20:00,,4.096,0.022,0,0,0.539,16.3,91.4,1.52,673
10/25/2000 04:00,,2.225,0.022,0,0,0.545,19.8,90.6,1.56,674
10/25/2000 12:00,,2.665,0.021,0.001,0,0.528,21.6,90.6,1.68,668
10/25/2000 20:00,,2.21,0.019,0.001,0,0.503,23.1,91,1.77,685
10/26/2000 04:00,,7.245,0.025,0.001,0,0.553,25,91.4,1.74,689
10/26/2000 12:00,,3.336,0.027,0.002,0,0.58,27.9,92.7,1.98,667
10/26/2000 20:00,,3.763,0.031,0.004,0,0.592,29.6,87.3,1.97,665
10/27/2000 04:00,,3.477,0.027,0.004,0,0.551,31.3,87.2,1.73,675
10/27/2000 12:00,,2.155,0.027,0.004,0,0.52,32.9,84.9,1.64,687
10/27/2000 20:00,,1.938,0.026,0.006,0,0.542,26.5,85.7,2,700
10/28/2000 04:00,,1.669,0.026,0.006,0,0.569,26.3,86.7,1.96,701
10/28/2000 12:00,,2.711,0.026,0.007,0,0.573,28.6,87.1,1.86,703
10/28/2000 20:00,,-2.297,0.027,0.008,0,0.541,29.5,88.5,1.96,708
10/29/2000 04:00,,2.41,0.025,0.006,0,0.521,29,88,1.76,710
10/29/2000 12:00,,1.899,0.024,0.007,0,0.5,31.1,88.6,1.87,710
10/29/2000 20:00,,2.934,0.025,0.006,0,0.537,31.8,89.3,1.86,717
10/30/2000 04:00,,1.942,0.022,0.01,0,0.587,32.5,89.6,1.89,731
10/30/2000 12:00,,-4.141,0.016,0.005,0,0.45,33.3,97.6,1.87,733
10/30/2000 20:00,,0.247,0.02,,,0.503,33,,,739
10/31/2000 04:00,,-0.111,0.02,0.007,0,0.54,34.1,95.2,1.87,742
10/31/2000 12:00,,0.196,0.015,0.005,0,0.49,34.1,99,1.95,732
10/31/2000 20:00,,1.028,0.02,0.006,0,0.501,33.8,95.8,1.91,730
11/01/2000 04:00,17,0.9,0.018,0.007,0,0.527,39.4,97.1,1.84,726
11/01/2000 12:00,17,-0.212,0.013,0.006,0,0.491,43.7,94.6,2.04,709
11/01/2000 20:00,17,0.679,0.018,0.01,0,0.53,43.1,95.4,2.07,704
11/02/2000 04:00,16,2.093,0.017,0.008,0,0.542,51.3,90.5,2.09,703
11/02/2000 12:00,16,1.418,0.014,0.006,0,0.501,52.1,90.3,1.89,695
11/02/2000 20:00,16,1.364,0.018,0.008,0,0.527,53.9,89,2.1,693
11/03/2000 04:00,17,3.28,0.019,0.008,0,0.508,46.8,87,1.87,695
11/03/2000 12:00,17,1.03,0.015,0.006,0,0.502,45.9,89.6,1.79,692
11/03/2000 20:00,17,12.037,0.029,0.008,0,0.559,46.3,87.5,1.95,691
11/04/2000 04:00,16,2.324,0.019,0.008,0,0.528,11.5,86.5,1.86,693
11/04/2000 12:00,16,0.503,0.015,0.007,0,0.473,53.5,87,1.71,698
11/04/2000 20:00,16,1.325,0.018,0.009,0,0.489,56,85.6,1.72,701
11/05/2000 04:00,17,0.579,0.019,0.008,0,0.509,47.2,85.7,1.66,702
11/05/2000 12:00,17,1.067,0.014,0.007,0,0.463,54.1,86.8,1.75,680
11/05/2000 20:00,17,0.706,0.017,0.008,0,0.471,50.5,86.1,,705
11/06/2000 04:00,19,0.587,0.014,0.006,0,0.427,41.66,86.7,1.61,704
11/06/2000 12:00,19,2.092,0.015,0.003,0,0.531,,89.6,1.54,702
11/07/2000 12:00,21,2.022,0.014,0.006,0,0.482,49.3,89.8,2.06,725
11/08/2000 12:00,20,1.447,0.014,0.005,0,0.44,44.4,92.8,2.03,734
11/09/2000 12:00,21,2.215,0.015,0.005,0,0.452,53,95.4,2.22,744
11/10/2000 12:00,55,3.271,0.02,0.007,0,0.397,35.6,98.7,2.79,750
11/11/2000 12:00,166,7.394,0.054,0.025,0,0.534,57.3,95.2,3.52,660
11/12/2000 12:00,121,7.498,0.116,0.063,1.32,0.947,73.3,78.4,6.51,664
11/13/2000 12:00,81,3.729,0.088,0.039,1.41,0.887,24.2,78.6,6.76,684
11/14/2000 04:00,14,2.218,0.065,0.028,1.15,0.841,49.6,79.7,6.01,727
11/20/2000 12:00,32.612,0.594,0.02,-0.003,1.07,0.626,76.4,106.6,2.9,724
11/20/2000 20:00,31.11,2.03,0.018,-0.004,1.06,0.537,85.2,105.9,2.53,721
11/21/2000 04:00,32.612,0.436,0.018,0.003,1.05,0.534,64.7,107.5,2.58,728
11/21/2000 12:00,28.106,1.317,0.02,-0.003,1.06,0.535,53.4,106.3,2.41,788
11/21/2000 20:00,32.612,0.6,0.017,-0.004,1.04,0.565,69.9,106.7,2.09,748
11/22/2000 04:00,37.118,0.993,0.018,-0.004,1.05,0.542,47.3,104.6,2.38,786
11/27/2000 12:00,32.612,1.571,-0.002,0.007,0.59,0.45,63.5,98.4,1.37,781
11/28/2000 12:00,37.118,0,0,0.006,0.57,0.427,44.7,100.5,1.34,773
11/29/2000 12:00,60,0.832,0,0.007,0.75,0.414,67.2,102.8,1.28,780
11/30/2000 12:00,57.862,1.238,0,0.005,0.67,0.467,101.7,101.9,1.39,756
12/01/2000 12:00,94.48,1.227,0,0.006,0.57,0.364,39.6,98.8,1.25,758
12/02/2000 12:00,107.44,2.817,0.003,0.006,0.92,0.425,17.7,96.8,1.31,758
12/03/2000 12:00,104.2,2.204,0.007,0.007,1.17,0.452,32.2,98.6,2.39,758
12/04/2000 04:00,104.2,1.828,0.01,0.006,1.25,0.483,33.2,99.5,2.28,753
12/04/2000 12:00,100.96,1.948,0.008,0,1.42,0.493,12.6,102.5,2.36,750
12/05/2000 12:00,65.6,3.267,0.009,-0.003,1.41,0.47,24.2,107.4,1.35,780
12/06/2000 12:00,76.8,0.811,0.005,-0.002,1.76,0.503,46.2,112.8,2,915
12/07/2000 12:00,76.8,2.439,0.005,-0.004,1.99,0.493,44.6,116.5,1.5,871
12/08/2000 12:00,97.72,3.407,0.003,-0.003,2.05,0.515,25.4,120.7,1.51,894
12/09/2000 12:00,57.862,1.52,0.002,-0.004,1.97,0.465,145.9,117.1,1.41,866
12/10/2000 12:00,65.6,-0.912,0,-0.003,1.9,0.492,25.6,122.6,1.21,855
12/11/2000 04:00,65.6,2.656,-0.001,-0.004,1.88,0.463,26.6,120.9,1.33,830
12/11/2000 12:00,60,3.098,0.018,-0.011,2,0.494,64.6,126.8,1,962
12/11/2000 20:00,91.24,12.926,0.042,-0.008,1.95,0.459,19.7,126,1.15,808
12/12/2000 04:00,309.98,62.419,0.184,0.002,2.65,0.974,28.6,84.9,3.08,770
12/12/2000 12:00,643.23,43.819,0.134,0.029,3.48,0.922,16.2,89.4,3.35,721
12/12/2000 20:00,795.48,93.397,0.209,0.016,3.35,1.157,28.9,92.8,3.31,573
12/13/2000 04:00,763.8,43.064,0.211,0.02,3.88,1.212,17.1,59.4,5.25,505
12/13/2000 12:00,665.22,37.77,0.251,0.06,4.18,1.136,42,48,5.77,582
12/13/2000 20:00,561,26.495,0.212,0.113,4.18,1.324,31.9,57.7,6.07,607
12/14/2000 04:00,373.56,29.001,0.176,0.099,4.78,0.995,19.1,64.9,6.08,748
12/14/2000 12:00,309.98,19.647,0.146,0.073,4.73,1.174,24,71.5,6.05,637
12/15/2000 12:00,795.48,6.753,0.124,0.057,4.13,1.077,34.2,71.6,6.25,866
12/16/2000 12:00,185.35,21.229,0.111,0.047,3.99,1.005,64.7,75.6,6.24,769
12/16/2000 20:00,410.88,198.06,0.336,0.029,3.4,1.536,22.1,58.1,5.65,443
12/19/2000 12:00,497.46,35.743,0.226,0.099,4.74,1.022,11.7,48.3,6.26,525
12/20/2000 12:00,323.99,16.007,0.165,0.073,4.93,1.043,28.1,63.9,6.92,584
12/21/2000 12:00,444,11.283,0.135,0.059,4.66,0.87,47.7,73.4,7.14,636
12/22/2000 12:00,845.16,10.204,0.12,0.053,4.61,0.948,54.3,83.7,7.69,703
12/23/2000 12:00,427.44,6.603,0.107,0.048,4.62,0.773,38.2,96.7,8.31,713
12/24/2000 12:00,503.4,3.866,0.101,0.045,4.32,0.768,,96.8,8.03,717
12/25/2000 12:00,1234.6,5.008,0.091,0.04,4.15,0.743,20.5,98.8,8.26,763
12/26/2000 12:00,535.4,4.619,0.082,0.035,4.08,0.79,21.9,107.1,8.58,780
12/27/2000 12:00,388.8,4.401,0.073,0.031,3.85,0.554,48.9,110,8.66,802
12/28/2000 12:00,328.66,2.213,0.066,0.025,3.47,0.647,34.1,110.6,8.54,809
12/29/2000 12:00,314.65,1.8,0.058,0.023,3.24,0.612,30.4,115.7,8.68,844
12/30/2000 12:00,278.52,1.767,0.052,0.021,3.06,0.558,42.8,118.7,8.68,877
12/31/2000 12:00,244.83,1.427,0.047,0.019,2.82,0.49,23,118.7,8.68,929
01/01/2001 12:00,229.35,1.961,0.045,0.019,2.63,0.491,84.6,121.4,8.66,915
01/02/2001 12:00,205.07,-0.955,0.043,0.018,2.47,0.462,85,121.4,8.51,900
01/03/2001 12:00,185.35,1.294,0.035,0.017,2.18,0.45,87.2,117.1,9.43,911
01/04/2001 12:00,160.7,0.94,0.033,0.018,2.02,0.457,37.7,117.8,9.32,977
01/05/2001 12:00,152.64,0.908,0.035,0.02,2,0.452,54,117.6,9.23,1059
01/06/2001 12:00,156.67,0.995,0.036,0.02,1.91,0.362,41.8,115.9,9.22,1013
01/07/2001 12:00,156.67,1.587,0.036,0.021,1.8,0.44,44.5,111.8,9.35,996
01/08/2001 04:00,160.7,1.231,0.034,0.016,1.73,0.368,36.2,112.32,8.97,1011
01/08/2001 12:00,156.67,-0.219,0.035,0.019,2.09,0.373,47.4,119.9,9.18,1079
01/09/2001 12:00,152.64,0.518,0.038,0.02,2,0.414,53.9,120.3,9.18,1076
01/10/2001 12:00,136.52,1.991,0.041,0.022,2.01,0.432,38.4,121.5,9.26,1039
01/11/2001 12:00,120.4,1.914,0.039,0.022,1.9,0.354,67,121,9.17,1019
01/12/2001 12:00,113.92,1.209,0.037,0.021,1.88,0.362,42.2,121.4,9.15,990
01/13/2001 12:00,117.16,1.986,0.038,0.02,1.76,0.304,59.3,115.5,8.94,983
01/14/2001 12:00,120.4,2.244,0.039,0.02,1.7,0.327,75.9,113.3,8.73,1088
01/15/2001 04:00,156.67,-2.198,0.039,0.019,1.68,0.384,51,116.1,8.38,1102
01/15/2001 12:00,205.07,5.966,0.046,0.022,1.7,0.39,96.5,117.5,8.4,896
01/16/2001 12:00,473.7,9.389,0.082,0.037,3.67,0.754,49.3,88.5,7.95,727
01/17/2001 12:00,812.04,20.749,0.125,0.057,4.08,0.887,72.2,77.9,7.72,669
01/18/2001 12:00,924.54,9.52,0.12,0.058,4.57,1.022,135.1,74.3,7.24,691
01/19/2001 12:00,672.55,4.473,0.096,0.043,4.31,0.913,29.1,81.4,7.27,686
01/20/2001 12:00,541.8,4.128,0.088,0.04,4.26,0.851,20.7,79.6,7.38,704
01/21/2001 12:00,473.7,5.285,0.075,0.034,4.13,0.733,53.9,85.6,7.58,714
01/22/2001 04:00,427.44,2.998,0.067,0.032,4.01,0.714,40.6,87.6,7.59,720
01/22/2001 12:00,421.92,-1.885,0.202,0.028,3.98,0.728,24.7,92.8,8.07,742
01/23/2001 12:00,368.48,4.47,0.18,0.027,3.88,0.703,24.5,98.6,8.39,762
01/24/2001 12:00,338,2.905,0.161,0.026,3.61,0.641,21.1,103.8,8.54,774
01/25/2001 12:00,323.99,3.337,0.175,0.025,3.49,0.5,27.8,107,8.28,792
01/26/2001 12:00,287.04,4.155,0.141,0.022,3.29,0.507,29.7,112.1,8.26,870
01/27/2001 12:00,274.26,2.326,0.118,0.022,3.08,0.478,39,111.1,8.13,890
01/28/2001 12:00,233.22,1.222,0.107,0.021,2.86,0.415,45,113.1,8.14,895
01/29/2001 04:00,248.7,1.219,0.098,0.022,2.85,0.437,36.9,114.9,8.16,877
01/29/2001 12:00,244.83,1.397,0.05,0.02,2.75,0.409,25,125.4,8.54,827
01/30/2001 12:00,444,33.419,0.132,0.037,2.35,0.886,47.7,101,6.9,725
01/30/2001 20:00,924.54,90.542,0.217,0.055,2.79,1.162,106,76.9,6.48,568
01/31/2001 04:00,1854.6,620.73,0.683,0.033,3.24,2.902,8.9,66.4,5.86,504
01/31/2001 12:00,10030,182.97,0.495,0.207,3.31,1.679,16.7,52.3,6.31,457
01/31/2001 20:00,15511,229.58,0.487,0.136,3.33,1.958,22.1,42.1,6.09,468
02/01/2001 04:00,14224,154.05,0.338,0.074,3.59,1.718,52.7,52.8,6.43,433
02/01/2001 12:00,13236,124.84,0.302,0.063,3.81,1.79,47.6,46.3,6.08,431
02/01/2001 20:00,9850.1,110.27,0.271,0.061,3.85,1.21,14.5,48,6.41,451
02/02/2001 04:00,8684.6,59.244,0.22,0.064,4,1.457,44.7,51.3,6.67,468
02/02/2001 12:00,7502.9,42.212,0.191,0.062,4.13,1.376,25.8,55.6,6.92,520
02/03/2001 12:00,4909,18.323,0.136,0.047,4.24,1.012,35.7,68.3,7.33,568
02/04/2001 12:00,6181.7,11.834,0.115,0.038,4.1,0.909,41.8,74.7,7.63,598
02/05/2001 04:00,4612.2,13.614,0.105,0.032,3.94,0.987,28.8,77.7,7.63,605
02/05/2001 12:00,5120.6,13.137,0.104,0.039,3.85,0.756,37.1,76.9,7.72,637
02/06/2001 12:00,3015.4,8.094,0.091,0.034,3.52,0.696,18.4,80,7.63,706
02/07/2001 12:00,2040,9.8,0.086,0.034,3.23,0.668,23.5,86.6,7.79,702
02/08/2001 12:00,1047.4,9.764,0.093,0.037,2.94,0.626,45.1,88.1,7.54,647
02/09/2001 04:00,709.2,57.887,0.149,0.04,3.24,0.879,37.8,75.8,7.23,582
02/09/2001 12:00,643.23,109.56,0.216,0.055,4.04,1.203,18.3,64.6,7.16,522
02/09/2001 20:00,1381,296.91,0.384,0.044,4.04,1.82,26.9,56.9,6.74,461
02/10/2001 04:00,1982.4,471.46,0.613,0.061,4.88,2.619,20.2,44.5,6.63,447
02/10/2001 12:00,1953.6,326.75,0.461,0.061,5.63,2.186,17.5,42.1,7.01,436
02/10/2001 20:00,1813.2,296.07,0.436,0.063,5.81,2.164,32.2,41.4,7.23,435
02/11/2001 04:00,1245.4,271.87,0.4,0.057,5.52,1.934,33.1,43.8,7.03,439
02/11/2001 12:00,803.76,211.52,0.367,0.052,5.05,1.623,39.1,44.2,6.85,457
02/11/2001 20:00,541.8,152.38,0.319,0.052,4.96,1.655,22.8,46.2,6.96,438
02/12/2001 04:00,405.36,89.774,0.243,0.049,4.94,1.321,14.6,51.4,7.54,495
02/12/2001 12:00,314.65,69.58,0.186,0.038,4.6,1.022,31.6,53.3,6.92,552
02/13/2001 12:00,229.35,29.75,0.124,0.033,4.22,0.921,74.9,63.6,7.09,612
02/14/2001 12:00,237.09,25.814,0.145,0.062,3.66,0.869,90.7,71.7,7.35,620
02/14/2001 20:00,405.36,20.518,0.186,0.058,3.7,0.958,15.9,67.3,6.98,546
02/15/2001 04:00,951.81,151.23,0.278,0.057,4.92,1.371,58.9,55.9,6.98,494
02/15/2001 12:00,1744.8,251.24,0.368,0.057,5.01,1.663,21.9,48.9,6.74,443
02/15/2001 20:00,1600.8,247.37,0.379,0.055,5.08,1.74,30.8,44.1,6.5,439
02/16/2001 04:00,1180.6,179.62,0.318,0.052,4.85,1.489,34.1,44.4,6.67,441
02/16/2001 12:00,779.4,128.43,0.27,0.049,4.83,1.3,22.1,46.9,6.87,458
02/16/2001 20:00,567.4,81.838,0.218,0.048,4.88,1.182,37.6,44.2,7.49,478
02/17/2001 04:00,394.32,53.672,0.177,0.054,4.79,1.074,36.2,51.1,7.72,497
02/17/2001 12:00,257.22,41.391,0.156,0.051,4.68,1.095,46.6,54.5,7.74,537
02/18/2001 12:00,91.24,23.668,0.112,0.032,4.61,0.833,20.5,63.8,7.87,567
02/19/2001 04:00,65.6,15.109,0.097,0.032,4.35,0.755,28.8,68.9,7.98,573
