DateTime,Value [FLOW] Flow (cfs),Value [TSS] Total Suspended Solids (mg/L),Value [TP] Total Phosphorus (mg-P/L),Value [SRP] Soluble Reactive Phosphorus (mg-P/L),Value [NO23] Nitrite + Nitrate (mg-N/L),Value [TKN] Total Kjeldahl Nitrogen (mg-N/L),Value [CL] Chloride (mg/L),Value [SO4] Sulfate (mg/L),Value [SI] Total Silica (mg-Si/L),Value [COND] Conductivity (umho)
01/15/2018 14:36,13.2,7.2368,0.0716,0.033,6.47,0.56,30.6,58.9,7.34,650
01/22/2018 13:30,16.2,34.801,0.1079,0.032,4.17,0.784,46.6,54.1,6.14,660
01/29/2018 13:37,18.3,47.452,0.0885,0.028,7.59,0.601,30.8,68.6,7.05,668
02/19/2018 13:40,91.9,196.8,0.4563,0.046,5.8,3.769,30.1,40.6,5.95,533
02/26/2018 13:30,55.7,52.9,0.312,0.05,5.13,1.287,14.9,27.8,7.46,420
03/05/2018 13:25,28.9,64.993,0.1665,0.046,5.56,0.823,21.4,41.5,6.85,538
03/12/2018 13:22,5.99,16.642,0.0545,0.024,4.69,0.467,27,63.7,5.86,659
03/19/2018 09:05,3.49,17.532,0.0508,0.019,4.31,0.53,31.4,72.1,3.88,665
03/26/2018 09:15,1.7,22.407,0.0483,0.011,2.29,0.532,32.5,88.2,1.1,653
04/02/2018 09:15,21.3,24.665,0.1118,0.021,6.17,0.836,20.9,47.4,6.93,569
04/09/2018 09:05,10.2,16.494,0.0601,0.004,5.72,0.542,25.2,63.3,5.56,632
04/16/2018 09:25,162,81.25,0.5083,0.062,6.01,3.414,8.3,17.6,6.78,312
04/23/2018 12:36,8.45,9.489,0.0349,0.004,5.27,0.559,25.9,59.9,3.04,637
04/30/2018 10:00,3.75,7.6442,0.028,0.007,3.4,0.63,29.9,65.8,0.38,587
04/30/2018 12:00,3.75,6.4185,0.0313,0.007,3.05,0.647,29.1,64.6,0.4,600
05/01/2018 12:00,3.62,11.191,0.038,0.004,2.65,0.641,27.8,63.5,0.26,596
05/02/2018 12:00,3.75,18.907,0.0475,0.005,2.44,0.704,29.8,65.4,0.23,605
05/03/2018 04:00,3.86,32.32,0.0719,0.007,2.22,0.742,29.4,65.3,0.34,599
05/03/2018 12:00,8.8,108.91,0.261,0.022,4.41,1.364,20.6,45.9,2.99,490
05/03/2018 20:00,41.8,105.63,0.26,0.018,5.87,1.597,20,35.7,4.82,486
05/04/2018 04:00,75,134.98,0.4598,0.092,7.79,2.261,13.6,29,6.63,421
05/04/2018 12:00,49.6,80.519,0.2789,0.048,8.36,1.981,15.8,30.5,7.29,454
05/04/2018 20:00,36.5,48.78,0.1768,0.035,8.37,1.456,17.7,34.2,7.48,495
05/05/2018 04:00,26,37.555,0.1263,0.03,8.08,1.155,18.6,39.3,7.25,532
05/05/2018 12:00,18.4,25,0.0889,0.024,7.55,0.867,19.9,42.7,6.87,560
05/06/2018 12:00,11.5,18.481,0.0544,0.013,6.1,0.744,22.4,50,4.36,601
05/07/2018 04:00,9.47,18.193,0.0507,0.012,5.34,0.655,23.3,52.5,2.17,606
05/07/2018 09:25,8.8,12.5,0.0436,0.008,5.31,0.624,24.1,54.8,1.92,616
05/07/2018 12:00,8.09,14.575,0.045,0.004,5.21,0.572,25.2,64,1.75,618
05/08/2018 12:00,6.14,8.7014,0.037,0.004,4.29,0.522,25,65.3,0.55,606
05/09/2018 12:00,5.4,12.345,0.039,0.004,3.67,0.597,26.2,68.2,0.42,598
05/10/2018 12:00,5.4,12.658,0.067,0.003,2.98,0.579,26.4,68,0.34,594
05/11/2018 12:00,4.85,15.743,2.719,1.426,4.14,8.978,27.1,70.4,0.46,637
05/12/2018 12:00,3.75,8.6956,0.599,0.447,2.76,1.05,28.1,70.4,0.42,638
